time,x1,x2,x3,x4,y1_noisy,y3_noisy,wind,control
0.0,0.0,0.0,0.0,0.0,-0.010321955785479444,-0.04344823363956612,454.89313198626337,0.0
0.0266844563042028,0.00016182043554338133,0.012118542486465517,-6.10886083944223e-07,-6.62683696599061e-05,0.012395961838903157,-0.016045344711321356,455.5871070019543,-2.5114288178559674
0.0533689126084056,0.0006459766662780418,0.02415522733374343,-4.141511240186353e-06,-0.00020546613972247533,-0.0022678561070145846,-0.01449476862269121,454.28681064207905,-5.175822867232011
0.0800533689126084,0.0014496301219273937,0.03606256081220606,-1.1410099662589466e-05,-0.00032858993455976194,0.016137799481969868,-0.044603832947087085,453.04919744850554,-7.973609246759661
0.1067378252168112,0.0025695307124708523,0.047845796827653456,-2.0819940294061318e-05,-0.00034927491257418566,0.0030347769499307516,-0.01795422833370553,455.0392427351645,-10.895098195111753
0.133422281521014,0.004002292436031165,0.05952413548201079,-2.8434878958986123e-05,-0.00018419057971922427,0.02021933786603771,0.03481208152054747,456.6949754132647,-13.93292283607736
0.1601067378252168,0.005745029617394642,0.07106728228120315,-2.8241397133617783e-05,0.00024718656651402974,-0.006536126884033944,-0.012593880265061945,457.05551131353843,-17.06972502742663
0.1867911941294196,0.007793918548117966,0.08245411631826866,-1.2151544368438038e-05,0.0010215630614059065,0.02378971054849815,-0.0681382845842963,459.7781628361667,-20.289271694882657
0.2134756504336224,0.010143721919247048,0.09362452986122896,2.992247851214343e-05,0.002210483698284837,0.068622973262971,0.006894799479894251,457.9533621739569,-23.566741818487188
0.2401601067378252,0.012787779321135274,0.10449328609401501,0.00010999470557988364,0.003879970479074121,-0.01993585614040332,0.01382932399119991,453.83374143359873,-26.871551419789263
0.266844563042028,0.01571756273329524,0.11501227576625218,0.0002416722041377751,0.006090195366733759,-0.019559505322541172,-0.02936876957831125,450.5214250076897,-30.17971532198335
0.2935290193462308,0.018921744658102882,0.12505595396124244,0.00044031093995971506,0.008896920501031542,0.01793207890835374,0.0030595467761801495,439.99294021024264,-33.45027778920886
0.3202134756504336,0.022386027008715875,0.13449882321236095,0.0007223792902566208,0.0123466213013745,0.03828936291253878,-0.04131704811456842,426.3822324367671,-36.64140222961569
0.3468979319546364,0.02609314328124534,0.1432301639681299,0.0011053777352217871,0.016475964176232812,0.06975561605278303,-0.05462447118189694,409.97058891124465,-39.713394696058835
0.3735823882588392,0.03002285855475583,0.15115403459221866,0.0016078388580308878,0.021311806523139788,-0.03260916311465376,0.0024835407130660643,390.2930230594426,-42.62870388609841
0.400266844563042,0.034155540704215025,0.1582943625697919,0.002248741612982607,0.0268669448337541,0.05154697750949356,-0.01841736353308173,370.1908479031145,-45.375325898795694
0.4269513008672448,0.03846760464126575,0.1645589558341746,0.00304742939419214,0.03314598758133428,0.010443212532169392,-0.06291243745724241,346.64742752124266,-47.91676591107672
0.4536357571714476,0.04292524380664859,0.16960320719769728,0.004023924494715152,0.04015122222377913,0.040601182419901675,0.03219953610375441,313.6666104425316,-50.1609637720713
0.4803202134756504,0.047495682726559865,0.17325544403593274,0.005197293013432344,0.0478681069401573,0.046088502393963275,-0.0008827137630633818,278.45179051961645,-52.052931572421045
0.5070046697798533,0.05214739619728141,0.17552446107731565,0.006585613314214289,0.056264999392817525,0.039005909521808796,-0.016582122810467788,241.56002326231086,-53.5764063805578
0.533689126084056,0.056850109285180486,0.1765995204031423,0.008205976025921425,0.06529315672738847,0.006257156876740097,0.026097169926671653,208.2571442964287,-54.753850242703436
0.5603735823882589,0.06157479732670987,0.1768503514475709,0.010074484042404075,0.07488673557277893,0.08626872657165077,0.020611103672944484,200.0,-55.64645018287
0.5870580386924616,0.06629579723136964,0.17678025791283813,0.012205829372167083,0.08496408415011406,0.007533905543989208,0.03274267686191115,200.0,-56.34579297159092
0.6137424949966644,0.07100973228680046,0.17646278850922423,0.014610315765506861,0.09544012927611617,0.07652438796612647,-0.023493721981826445,200.0,-56.8703161879814
